Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.9995352893278018,0.0035666397463447294,1.0
3,0.9991978798363786,0.0023828112368747085,1.0
4,0.99858005585614,0.0025012553838262936,1.0
5,0.9976658053262917,0.004406514401103679,0.998
6,0.9963468961281552,0.007780283003908087,1.0
7,0.995305226522091,0.006765440375210698,1.0
8,0.993779017882984,0.009523033336522201,1.0
9,0.992329862872091,0.010578797632914484,1.0
10,0.9904530541847391,0.012470470304125991,1.0
11,0.9886845142328479,0.015528961286349506,1.0
12,0.9864072338549187,0.01792901996178462,0.998
13,0.9839991374151124,0.021408726101250174,0.996
14,0.9809572535406219,0.025550351802113062,1.0
15,0.9788326647182436,0.027039802527120217,0.998
16,0.9763145758085713,0.03125595406330939,0.998
17,0.9735164907836015,0.030899488705002205,1.0
18,0.9709718009063749,0.03505175937611291,0.998
19,0.9683105245759427,0.03574858936527485,0.998
20,0.9651795726484917,0.04023416505340389,0.996
21,0.9626555877503828,0.042016130038869455,0.994
22,0.9594225831647321,0.044554414276110184,0.994
23,0.9560528790558404,0.04711512280773092,0.996
24,0.9534441472391432,0.05017015348485167,0.998
25,0.9505439107033586,0.0494113267660769,0.986
26,0.9460666101862658,0.055546292951705434,0.986
27,0.9421606081388915,0.058279211261329136,0.986
28,0.9389338177800073,0.061583497030817926,0.984
29,0.9367683516299201,0.06017549280233736,0.978
30,0.9325521945005035,0.06349358451523165,0.976
