severity,accuracy,mean_poly_k,std_poly_k,elapsed_time_poly_k
-0.0,1.0,1.0,0.0,0.08623266220092773
-0.032999999821186,1.0,0.9990199000106216,0.0,0.09403705596923828
-0.0659999996423721,1.0,0.9960796000424864,2.222669831529484e-16,0.09386634826660156
-0.0989999994635582,1.0,0.9911791000955943,3.3340047472942265e-16,0.10390520095825195
-0.1319999992847442,1.0,0.9843184001699451,3.3340047472942265e-16,0.10789966583251953
-0.1649999916553497,1.0,0.9754975024783614,3.3340047472942265e-16,0.10455489158630371
-0.1979999989271164,1.0,0.9647164003823755,2.222669831529484e-16,0.09532856941223145
-0.231000006198883,0.996,0.9519750974225046,2.222669831529484e-16,0.11777019500732422
-0.2639999985694885,0.994,0.937273600679779,0.0,0.09102821350097656
-0.296999990940094,0.996,0.9206119048434259,2.222669831529484e-16,0.1031961441040039
-0.3299999833106994,0.99,0.901990009913444,2.222669831529484e-16,0.10239219665527344
-0.3630000054836273,0.992,0.8814078964169981,2.222669831529484e-16,0.094085693359375
-0.3959999978542328,0.99,0.858865601529503,1.111334915764742e-16,0.09477519989013672
-0.4289999902248382,0.988,0.8343631075483801,2.222669831529484e-16,0.09625554084777832
-0.4620000123977661,0.97,0.8079003896900174,1.111334915764742e-16,0.11026144027709961
-0.4950000047683716,0.968,0.7794774957513809,0.0,0.09900879859924316
-0.527999997138977,0.954,0.7490944027191163,1.111334915764742e-16,0.1137533187866211
-0.5609999895095825,0.938,0.7167511105932235,1.111334915764742e-16,0.11354804039001465
-0.593999981880188,0.936,0.6824476193737026,1.111334915764742e-16,0.109466552734375
-0.6270000338554382,0.92,0.6461838617907513,1.111334915764742e-16,0.1117713451385498
-0.6600000262260437,0.89,0.6079599688434596,2.222669831529484e-16,0.11238551139831543
-0.6930000185966492,0.848,0.5677758768025394,1.111334915764742e-16,0.10729050636291504
-0.7260000109672546,0.78,0.5256315856679914,1.111334915764742e-16,0.11082935333251953
-0.7590000033378601,0.724,0.5,0.0,0.10857963562011719
-0.7919999957084656,0.646,0.5,0.0,0.10965132713317871
-0.824999988079071,0.542,0.5,0.0,0.11048698425292969
-0.8580000400543213,0.39,0.5,0.0,0.11427164077758789
-0.8910000324249268,0.266,0.5,0.0,0.11607789993286133
-0.9240000247955322,0.152,0.5,0.0,0.11424732208251953
-0.9570000171661376,0.102,0.5,0.0,0.12060117721557617
-0.9900000095367432,0.102,0.5,0.0,0.19712042808532715
0.0,1.0,1.0,0.0,0.07928633689880371
0.032999999821186,1.0,1.0,0.0,0.08297395706176758
0.0659999996423721,1.0,1.0,0.0,0.08372998237609863
0.0989999994635582,1.0,1.0,0.0,0.08672308921813965
0.1319999992847442,0.998,1.0,0.0,0.0861358642578125
0.1649999916553497,0.998,1.0,0.0,0.09022068977355957
0.1979999989271164,1.0,1.0,0.0,0.08887100219726562
0.231000006198883,0.998,1.0,0.0,0.09224510192871094
0.2639999985694885,1.0,1.0,0.0,0.0920712947845459
0.296999990940094,0.998,1.0,0.0,0.09259963035583496
0.3299999833106994,1.0,1.0,0.0,0.09532332420349121
0.3630000054836273,0.998,1.0,0.0,0.09794950485229492
0.3959999978542328,1.0,1.0,0.0,0.0983433723449707
0.4289999902248382,0.996,1.0,0.0,0.10451197624206543
0.4620000123977661,0.998,1.0,0.0,0.10869646072387695
0.4950000047683716,0.998,1.0,0.0,0.09995007514953613
0.527999997138977,0.996,1.0,0.0,0.10355114936828613
0.5609999895095825,0.998,1.0,0.0,0.11545491218566895
0.593999981880188,0.998,1.0,0.0,0.1217191219329834
0.6270000338554382,0.992,1.0,0.0,0.1217489242553711
0.6600000262260437,0.998,1.0,0.0,0.11646008491516113
0.6930000185966492,0.994,1.0,0.0,0.11751151084899902
0.7260000109672546,0.992,1.0,0.0,0.12085866928100586
0.7590000033378601,0.986,1.0,0.0,0.11927437782287598
0.7919999957084656,0.984,1.0,0.0,0.12837672233581543
0.824999988079071,0.99,1.0,0.0,0.12202906608581543
0.8580000400543213,0.982,1.0,0.0,0.12697291374206543
0.8910000324249268,0.986,1.0,0.0,0.13170695304870605
0.9240000247955322,0.982,1.0,0.0,0.15802812576293945
0.9570000171661376,0.976,1.0,0.0,0.18465113639831543
0.9900000095367432,0.97,1.0,0.0,0.17646551132202148
