severity,accuracy,mean_poly_k,std_poly_k,elapsed_time_poly_k
-0.0,1.0,1.0,0.0,0.09088778495788574
-4.5,0.992,0.9994444444444446,1.111334915764742e-16,0.11004877090454102
-9.0,0.972,0.9977777777777777,1.111334915764742e-16,0.11093020439147949
-13.5,0.896,0.9949999999999998,2.222669831529484e-16,0.10063529014587402
-18.0,0.728,0.9911111111111113,1.111334915764742e-16,0.09698915481567383
-22.5,0.538,0.9861111111111108,3.3340047472942265e-16,0.09682846069335938
-27.0,0.48,0.9800000000000003,3.3340047472942265e-16,0.09901118278503418
-31.5,0.408,0.9727777777777775,2.222669831529484e-16,0.09980440139770508
-36.0,0.378,0.9644444444444443,1.111334915764742e-16,0.1023416519165039
-40.5,0.358,0.9549999999999997,2.222669831529484e-16,0.10355448722839355
-45.0,0.354,0.9444444444444443,1.111334915764742e-16,0.10377812385559082
-49.5,0.322,0.9327777777777778,0.0,0.10387182235717773
-54.0,0.27,0.9199999999999999,0.0,0.1062459945678711
-58.5,0.27,0.9061111111111109,2.222669831529484e-16,0.10706663131713867
-63.0,0.244,0.8911111111111113,2.222669831529484e-16,0.1078953742980957
-67.5,0.25,0.875,0.0,0.11038947105407715
-72.0,0.276,0.8577777777777776,1.111334915764742e-16,0.11613821983337402
-76.5,0.308,0.8394444444444443,1.111334915764742e-16,0.11818194389343262
-81.0,0.366,0.8200000000000001,0.0,0.11893558502197266
-85.5,0.37,0.7994444444444446,2.222669831529484e-16,0.1226193904876709
-90.0,0.402,0.7777777777777779,1.111334915764742e-16,0.11715865135192871
-94.5,0.34,0.7550000000000002,2.222669831529484e-16,0.12517094612121582
-99.0,0.336,0.7311111111111113,1.111334915764742e-16,0.12727737426757812
-103.5,0.288,0.7061111111111114,2.222669831529484e-16,0.12645339965820312
-108.0,0.246,0.6799999999999999,0.0,0.12868976593017578
-112.5,0.23,0.6527777777777778,1.111334915764742e-16,0.12938833236694336
-117.0,0.204,0.6244444444444444,0.0,0.1315617561340332
-121.5,0.2,0.595,0.0,0.13470244407653809
-126.0,0.216,0.5644444444444445,1.111334915764742e-16,0.13600444793701172
-130.5,0.22,0.5327777777777777,1.111334915764742e-16,0.13627266883850098
-135.0,0.244,0.5,0.0,0.13714814186096191
0.0,1.0,1.0,0.0,0.09078264236450195
4.5,0.99,0.9994444444444446,1.111334915764742e-16,0.10038995742797852
9.0,0.972,0.9977777777777777,1.111334915764742e-16,0.10059976577758789
13.5,0.906,0.9949999999999998,2.222669831529484e-16,0.10344600677490234
18.0,0.754,0.9911111111111113,1.111334915764742e-16,0.10381817817687988
22.5,0.576,0.9861111111111108,3.3340047472942265e-16,0.10549736022949219
27.0,0.474,0.9800000000000003,3.3340047472942265e-16,0.09839844703674316
31.5,0.41,0.9727777777777775,2.222669831529484e-16,0.1002349853515625
36.0,0.362,0.9644444444444443,1.111334915764742e-16,0.10128998756408691
40.5,0.38,0.9549999999999997,2.222669831529484e-16,0.10284733772277832
45.0,0.358,0.9444444444444443,1.111334915764742e-16,0.10265398025512695
49.5,0.304,0.9327777777777778,0.0,0.10384678840637207
54.0,0.286,0.9199999999999999,0.0,0.1058962345123291
58.5,0.254,0.9061111111111109,2.222669831529484e-16,0.11080121994018555
63.0,0.228,0.8911111111111113,2.222669831529484e-16,0.10740232467651367
67.5,0.242,0.875,0.0,0.1114034652709961
72.0,0.292,0.8577777777777776,1.111334915764742e-16,0.11083793640136719
76.5,0.334,0.8394444444444443,1.111334915764742e-16,0.11173057556152344
81.0,0.38,0.8200000000000001,0.0,0.11228132247924805
85.5,0.366,0.7994444444444446,2.222669831529484e-16,0.11363339424133301
90.0,0.404,0.7777777777777779,1.111334915764742e-16,0.1101827621459961
94.5,0.382,0.7550000000000002,2.222669831529484e-16,0.11652970314025879
99.0,0.336,0.7311111111111113,1.111334915764742e-16,0.11691594123840332
103.5,0.294,0.7061111111111114,2.222669831529484e-16,0.11750984191894531
108.0,0.25,0.6799999999999999,0.0,0.12084031105041504
112.5,0.244,0.6527777777777778,1.111334915764742e-16,0.12098932266235352
117.0,0.208,0.6244444444444444,0.0,0.12222456932067871
121.5,0.206,0.595,0.0,0.12177658081054688
126.0,0.22,0.5644444444444445,1.111334915764742e-16,0.12409710884094238
130.5,0.238,0.5327777777777777,1.111334915764742e-16,0.1257314682006836
135.0,0.242,0.5,0.0,0.12788867950439453
