Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.7627021310631418,0.04667374544291369,0.996
3,0.5424667918788896,0.07436145209019518,0.98
4,0.36575417996543214,0.08388497232795951,0.892
5,0.25700588763163873,0.08307808820646544,0.754
6,0.1880197493088616,0.082092226990525,0.556
7,0.14721037632766404,0.07692926043781576,0.484
8,0.11303331353324018,0.07342285012625732,0.39
9,0.08755142553574413,0.07368847783159897,0.364
10,0.07481347529504001,0.07185843944606979,0.382
11,0.0626552067934261,0.06794429463925594,0.346
12,0.04906438031694087,0.06798708398304948,0.326
13,0.04514394490967445,0.06267903031625603,0.284
14,0.03840336247757006,0.06351052100224053,0.232
15,0.03697220841583411,0.06052929110566758,0.218
16,0.03396298440985355,0.060668688438140175,0.236
17,0.027831749154858802,0.06036252454368243,0.274
18,0.026596006164848567,0.06049511460951048,0.316
19,0.021001867661742488,0.06018314314944142,0.35
20,0.02274775538425762,0.06042945302696473,0.364
21,0.02085606112356005,0.06501764440511253,0.408
22,0.01885213246386295,0.05752608328295964,0.366
23,0.017700523727110156,0.05786558309022509,0.338
24,0.01864216584138019,0.06265497752299058,0.298
25,0.015535678365312479,0.058573666188331715,0.254
26,0.011256394429622257,0.05934530103649178,0.212
27,0.010414675093069085,0.05983601461065706,0.206
28,0.005499429209354872,0.05356760183641048,0.212
29,0.008088110070318993,0.06056424604176647,0.226
30,0.010662043464139806,0.06372976408827977,0.226
