severity,accuracy,mean_poly_k,std_poly_k,elapsed_time_poly_k
-0.0,1.0,1.0,0.0,0.0709834098815918
-0.032999999821186,0.998,0.9990199000106216,0.0,0.06883478164672852
-0.0659999996423721,0.998,0.9960796000424864,2.222669831529484e-16,0.07536983489990234
-0.0989999994635582,0.996,0.9911791000955943,3.3340047472942265e-16,0.07143306732177734
-0.1319999992847442,0.994,0.9843184001699451,3.3340047472942265e-16,0.08967089653015137
-0.1649999916553497,0.982,0.9754975024783614,3.3340047472942265e-16,0.08521246910095215
-0.1979999989271164,0.98,0.9647164003823755,2.222669831529484e-16,0.0763390064239502
-0.231000006198883,0.954,0.9519750974225046,2.222669831529484e-16,0.08504247665405273
-0.2639999985694885,0.928,0.937273600679779,0.0,0.08015584945678711
-0.296999990940094,0.906,0.9206119048434259,2.222669831529484e-16,0.08806180953979492
-0.3299999833106994,0.876,0.901990009913444,2.222669831529484e-16,0.08944082260131836
-0.3630000054836273,0.84,0.8814078964169981,2.222669831529484e-16,0.08822870254516602
-0.3959999978542328,0.792,0.858865601529503,1.111334915764742e-16,0.10381174087524414
-0.4289999902248382,0.73,0.8343631075483801,2.222669831529484e-16,0.10630536079406738
-0.4620000123977661,0.694,0.8079003896900174,1.111334915764742e-16,0.08684992790222168
-0.4950000047683716,0.62,0.7794774957513809,0.0,0.08784842491149902
-0.527999997138977,0.57,0.7490944027191163,1.111334915764742e-16,0.09374237060546875
-0.5609999895095825,0.544,0.7167511105932235,1.111334915764742e-16,0.09526896476745605
-0.593999981880188,0.498,0.6824476193737026,1.111334915764742e-16,0.1176908016204834
-0.6270000338554382,0.472,0.6461838617907513,1.111334915764742e-16,0.09344840049743652
-0.6600000262260437,0.446,0.6079599688434596,2.222669831529484e-16,0.09378671646118164
-0.6930000185966492,0.426,0.5677758768025394,1.111334915764742e-16,0.09854698181152344
-0.7260000109672546,0.384,0.5256315856679914,1.111334915764742e-16,0.10246753692626953
-0.7590000033378601,0.34,0.5,0.0,0.1009221076965332
-0.7919999957084656,0.35,0.5,0.0,0.12466573715209961
-0.824999988079071,0.344,0.5,0.0,0.10834789276123047
-0.8580000400543213,0.296,0.5,0.0,0.10708212852478027
-0.8910000324249268,0.262,0.5,0.0,0.11232304573059082
-0.9240000247955322,0.27,0.5,0.0,0.1367034912109375
-0.9570000171661376,0.246,0.5,0.0,0.10924363136291504
-0.9900000095367432,0.262,0.5,0.0,0.10842585563659668
0.0,0.998,1.0,0.0,0.07945537567138672
0.032999999821186,0.998,0.9990199000106216,0.0,0.07341885566711426
0.0659999996423721,0.996,0.9960796000424864,2.222669831529484e-16,0.08127236366271973
0.0989999994635582,0.998,0.9911791000955943,3.3340047472942265e-16,0.07967090606689453
0.1319999992847442,0.984,0.9843184001699451,3.3340047472942265e-16,0.07595586776733398
0.1649999916553497,0.982,0.9754975024783614,3.3340047472942265e-16,0.08734297752380371
0.1979999989271164,0.976,0.9647164003823755,2.222669831529484e-16,0.09164690971374512
0.231000006198883,0.96,0.9519750974225046,2.222669831529484e-16,0.07905459403991699
0.2639999985694885,0.944,0.937273600679779,0.0,0.08687162399291992
0.296999990940094,0.892,0.9206119048434259,2.222669831529484e-16,0.08830976486206055
0.3299999833106994,0.87,0.901990009913444,2.222669831529484e-16,0.09172177314758301
0.3630000054836273,0.854,0.8814078964169981,2.222669831529484e-16,0.09076166152954102
0.3959999978542328,0.796,0.858865601529503,1.111334915764742e-16,0.09101319313049316
0.4289999902248382,0.75,0.8343631075483801,2.222669831529484e-16,0.09966301918029785
0.4620000123977661,0.698,0.8079003896900174,1.111334915764742e-16,0.09758210182189941
0.4950000047683716,0.658,0.7794774957513809,0.0,0.09449076652526855
0.527999997138977,0.638,0.7490944027191163,1.111334915764742e-16,0.0957024097442627
0.5609999895095825,0.61,0.7167511105932235,1.111334915764742e-16,0.09678101539611816
0.593999981880188,0.582,0.6824476193737026,1.111334915764742e-16,0.0976874828338623
0.6270000338554382,0.548,0.6461838617907513,1.111334915764742e-16,0.10501217842102051
0.6600000262260437,0.534,0.6079599688434596,2.222669831529484e-16,0.09986495971679688
0.6930000185966492,0.49,0.5677758768025394,1.111334915764742e-16,0.10482621192932129
0.7260000109672546,0.424,0.5256315856679914,1.111334915764742e-16,0.10263872146606445
0.7590000033378601,0.454,0.5,0.0,0.1039433479309082
0.7919999957084656,0.406,0.5,0.0,0.10574507713317871
0.824999988079071,0.364,0.5,0.0,0.10706663131713867
0.8580000400543213,0.358,0.5,0.0,0.1082608699798584
0.8910000324249268,0.318,0.5,0.0,0.11379575729370117
0.9240000247955322,0.32,0.5,0.0,0.11290812492370605
0.9570000171661376,0.29,0.5,0.0,0.11235690116882324
0.9900000095367432,0.28,0.5,0.0,0.1130530834197998
