Severity,Mean,Std,Accuracy
1,0.9999983380436898,9.024570236155736e-07,1.0
2,0.9522625880241394,0.022254888559809064,0.998
3,0.9064849192202091,0.04236409242885519,0.998
4,0.8582681289166212,0.05869788193398175,1.0
5,0.8192966436445713,0.06674205638584797,0.992
6,0.7865492063686251,0.07413825410186616,0.98
7,0.7672402123957872,0.08361149476906457,0.972
8,0.7390533777212258,0.08568191992189488,0.96
9,0.7154659508578479,0.0914309787036367,0.938
10,0.7037341844760813,0.09574957238136322,0.916
11,0.6915097247650847,0.09380743264874417,0.87
12,0.6712655494477368,0.09446352143552164,0.824
13,0.6580248894761317,0.10005793896393876,0.804
14,0.6548980228068539,0.10588559065652248,0.74
15,0.640566239175736,0.10557758301562414,0.718
16,0.6332137590334751,0.10644981232011148,0.622
17,0.6290842328428989,0.1013688129353574,0.588
18,0.6308834507605061,0.10617195728901788,0.598
19,0.6216407432509586,0.10879475564179786,0.554
20,0.6033206584837754,0.1070116735311481,0.476
21,0.6094799785946962,0.11075887748074766,0.462
22,0.592226075471146,0.11113120916150473,0.436
23,0.5956719599982025,0.10698117098533609,0.43
24,0.5961782314381562,0.10822424704036528,0.404
25,0.5855595799884759,0.11097241253942147,0.38
26,0.5859043859435478,0.1101229595149104,0.398
27,0.5865593722202466,0.11191317958267931,0.316
28,0.5767376648368081,0.11209575604273743,0.302
29,0.5664365831450414,0.10387238292412725,0.292
30,0.5656831162234303,0.10691100672705044,0.302
