severity,accuracy,mean_ssim,std_ssim,elapsed_time_ssim,mean_ncc,std_ncc,elapsed_time_ncc,mean_uiq,std_uiq,elapsed_time_uiq,mean_scc,std_scc,elapsed_time_scc
255.0,0,0.98254495126009,0.0574544883039553,0.6075854301452637,0.9892446706108748,0.0449874804190526,0.169154405593872,0.9784204494953156,0.0647818333173787,0.5066554546356201,0.9844211650341749,0.04602665679891355,1.2264599800109863
246.5,0,0.9390909252762796,0.1226666765422122,0.6237132549285889,0.960748478576541,0.1000096088719462,0.1707189083099365,0.9399178324043752,0.1157207902499775,0.4998791217803955,0.962750132098794,0.06708721439579741,1.233503818511963
238.0,0,0.8998323582231998,0.1532623344677663,0.6196224689483643,0.9412462707378436,0.1147560074165864,0.1702103614807129,0.8970442038118839,0.1528091115103551,0.5013062953948975,0.9398216989673674,0.0823178349226774,1.2325439453125
229.5,0,0.8573927661836146,0.1782714862877696,0.597907543182373,0.9202696378878318,0.1281020405118743,0.1712841987609863,0.8517627437174319,0.1792642290519158,0.502314567565918,0.9174205127358437,0.09425341240503761,1.232426404953003
221.0,0,0.8037386254847051,0.2095801920311274,0.5995285511016846,0.8935909835631027,0.1431846998751464,0.1706204414367675,0.7997252695262432,0.2100570949397302,0.5013861656188965,0.8919947404842824,0.10741663526702194,1.2466552257537842
212.5,0,0.7561191300332546,0.2288226634441833,0.6195077896118164,0.8704925377797336,0.1507288680300539,0.16957688331604,0.7478297169297934,0.2337715887782574,0.5124762058258057,0.8680252119973302,0.11792583839023753,1.2371118068695068
204.0,0,0.6974098867803813,0.2502114897519982,0.6016316413879395,0.8489899772866629,0.1554298657243786,0.1840724945068359,0.6901008619606495,0.2574465980125131,0.5021183490753174,0.8393176849003648,0.12331240636759468,1.227168321609497
195.5,0,0.6481771050661803,0.2592955195068828,0.6121976375579834,0.8240434996942059,0.1647350433241713,0.1737689971923828,0.6355970477819443,0.2630780959757387,0.5010824203491211,0.8157753413342871,0.1277152266895495,1.2296900749206543
187.0,0,0.5884774224489927,0.2737598742514699,0.6141233444213867,0.8097609094721265,0.1597773978613093,0.1711812019348144,0.580221107751131,0.2738910723727017,0.5000121593475342,0.7894754226875957,0.1332549682285659,1.2230947017669678
178.5,0,0.5410761573135854,0.2718213854593396,0.6091952323913574,0.786524987299461,0.1653111139832231,0.1723690032958984,0.5371347043782473,0.2716547765407354,0.5022678375244141,0.7684815820412041,0.13602691136279815,1.2480096817016602
170.0,0,0.4920959454804658,0.2738456145037283,0.6037890911102295,0.7740530200905632,0.161459172123732,0.1685433387756347,0.4801662626266479,0.2737476389175255,0.5022079944610596,0.7444072067122907,0.13791171550939357,1.2413835525512695
161.5,0,0.4569376241147517,0.2735413627673478,0.8010826110839844,0.7663236216772348,0.1557577775116176,0.1732726097106933,0.434858656913042,0.262241172156736,0.509972333908081,0.7234498912944691,0.14453368997179575,1.2323527336120605
153.0,0,0.4180237855941057,0.2625337611238257,0.6221890449523926,0.7622761976988986,0.160351134695821,0.1707410812377929,0.3991741509914397,0.2645247710993669,0.5027203559875488,0.707822424097918,0.14189653454760542,1.2331211566925049
144.5,0,0.3981069371670483,0.2579295741959472,0.6841776371002197,0.7577783025670797,0.1577593760884453,0.1850113868713379,0.3744792198687792,0.2538393889170083,0.5045108795166016,0.6975539990507532,0.1426643533712694,1.2333223819732666
136.0,0,0.3894877902030944,0.2566854804909267,0.5979318618774414,0.75803434288688,0.1634028169656939,0.1931796073913574,0.3699345248550177,0.2577901716844208,0.5028541088104248,0.6930053472112632,0.13948113819220234,1.2215626239776611
127.5,0,0.3886500237584114,0.2502417677441149,0.6031308174133301,0.7544760447060689,0.1654000555829063,0.1844937801361084,0.3657417892575264,0.2513992406628503,0.5024702548980713,0.6903285871203989,0.1412900128527262,1.2184205055236816
119.0,0,0.3774972656279802,0.2460254852476057,0.6251552104949951,0.7634865753946827,0.1577719896109304,0.1892831325531005,0.355487270438671,0.245766327579453,0.5793716907501221,0.6878086964818066,0.1423994133105983,1.2192528247833252
110.5,0,0.3605477915495634,0.2435365027661651,0.6097745895385742,0.7493515174172353,0.1629429076026075,0.1854426860809326,0.3329656850397587,0.2409511880476376,0.5119702816009521,0.6732315677208826,0.13894417443026333,1.269113302230835
102.0,0,0.3264199426233768,0.2292765652622543,0.6740968227386475,0.7391494783600793,0.1661045659773103,0.1851668357849121,0.303886130619049,0.2295090873139456,0.5054244995117188,0.6540688985338784,0.13366885554840632,1.2383737564086914
93.5,0,0.28187524279356,0.2104104290484786,0.6331818103790283,0.7265230422373861,0.1622049871454005,0.1831202507019043,0.2603063183367252,0.2000327464159064,0.501542329788208,0.6252642993782938,0.1319955334120721,1.2572004795074463
85.0,0,0.2328521433651447,0.1803983188114233,0.6340351104736328,0.7119174404072576,0.1532617376039334,0.1859641075134277,0.2157376145750284,0.172568472235199,0.5009541511535645,0.598818000800602,0.13192442103666668,1.2274761199951172
76.5,0,0.1929177101969719,0.1541319648068015,0.6372973918914795,0.6959664864642545,0.1537106205017747,0.1896979808807373,0.1842782201945782,0.1467796830776726,0.5012471675872803,0.5721451816880974,0.13184980940870558,1.2218213081359863
68.0,0,0.1541054608762264,0.1172988408065286,0.6634223461151123,0.6684137616807129,0.1568622381900993,0.1857671737670898,0.1443029798746109,0.1081376829583514,0.5009646415710449,0.5392270436633146,0.12482704328350352,1.2226881980895996
