severity,accuracy,mean_poly_k,std_poly_k,elapsed_time_poly_k
255.0,1.0,1.0,0.0,0.09971284866333008
246.5,0.994,0.9990000000000002,2.222669831529484e-16,0.13572216033935547
238.0,0.99,0.9960000000000002,2.222669831529484e-16,0.10263729095458984
229.5,0.974,0.9909999999999998,2.222669831529484e-16,0.10046124458312988
221.0,0.972,0.984,0.0,0.11049556732177734
212.5,0.96,0.9749999999999998,2.222669831529484e-16,0.10832691192626953
204.0,0.942,0.9640000000000002,2.222669831529484e-16,0.12119531631469727
195.5,0.938,0.9510000000000003,2.222669831529484e-16,0.10726380348205566
187.0,0.912,0.936,1.111334915764742e-16,0.11046171188354492
178.5,0.9,0.9190000000000002,2.222669831529484e-16,0.11402273178100586
170.0,0.856,0.9000000000000002,2.222669831529484e-16,0.11064457893371582
161.5,0.836,0.8789999999999998,2.222669831529484e-16,0.11152148246765137
153.0,0.824,0.856,0.0,0.11146068572998047
144.5,0.802,0.8309999999999997,2.222669831529484e-16,0.11273384094238281
136.0,0.798,0.8040000000000003,2.222669831529484e-16,0.12191653251647949
127.5,0.776,0.7750000000000002,2.222669831529484e-16,0.11636137962341309
119.0,0.79,0.7439999999999999,1.111334915764742e-16,0.11640548706054688
110.5,0.754,0.711,1.111334915764742e-16,0.11677265167236328
102.0,0.736,0.6760000000000002,2.222669831529484e-16,0.1274104118347168
93.5,0.708,0.639,0.0,0.12559127807617188
85.0,0.664,0.5999999999999998,1.111334915764742e-16,0.12245368957519531
76.5,0.628,0.559,0.0,0.12327361106872559
68.0,0.586,0.5159999999999999,1.111334915764742e-16,0.13060402870178223
59.5,0.548,0.5,0.0,0.12935161590576172
51.0,0.552,0.5,0.0,0.13292312622070312
42.5,0.552,0.5,0.0,0.1295151710510254
34.0,0.526,0.5,0.0,0.13577651977539062
25.5,0.536,0.5,0.0,0.13297486305236816
17.0,0.526,0.5,0.0,0.13167119026184082
8.5,0.532,0.5,0.0,0.13258838653564453
0.0,0.54,0.5,0.0,0.13596725463867188
