Severity,Mean,Std,Accuracy
1,1.0,0.0,1.0
2,0.6952334567171127,0.09247671184686974,1.0
3,0.37219040890432037,0.15534313474104108,0.998
4,0.24807082365122138,0.16207009874041484,1.0
5,0.1830616182721625,0.1547742993689049,0.996
6,0.1468959405075347,0.1404706297279266,1.0
7,0.12408904643286311,0.12780567675389037,0.994
8,0.1067234727078713,0.11707299309284509,0.992
9,0.09312682869392563,0.10303687074694994,0.988
10,0.07814183946994506,0.09571185991267255,0.982
11,0.07177747040939256,0.09005449480114625,0.98
12,0.05934818457009749,0.083379280743955,0.968
13,0.05219073058241128,0.0745577867451804,0.952
14,0.047864642187170854,0.06571732521286305,0.954
15,0.03871940936010336,0.0582873264247868,0.93
16,0.03495994524338019,0.05556378879660701,0.898
17,0.028895709401594437,0.04903631687932844,0.868
18,0.024942822080301977,0.04519767647270924,0.79
19,0.019426994674313122,0.03805042708523243,0.82
20,0.013260522818630079,0.03635790579182975,0.78
21,0.011399859918992686,0.033049323221649066,0.698
22,0.007205658075463672,0.02946651730254105,0.656
23,0.004958357032493575,0.023245674811630382,0.636
24,0.004324478479813272,0.021090809263376486,0.574
25,0.0008895905049776081,0.015209054541990523,0.522
26,0.0004023165228890081,0.010413629790389163,0.428
27,-0.0014854837171892935,0.008055345324569144,0.382
28,-0.001994311196738073,0.005848285402064494,0.306
29,-0.000608757445296671,0.0013456200512744437,0.238
30,-6.87784183195135e-05,0.0001427116348321138,0.186
