severity,accuracy,mean_ssim,std_ssim,elapsed_time_ssim,mean_ncc,std_ncc,elapsed_time_ncc,mean_uiq,std_uiq,elapsed_time_uiq,mean_scc,std_scc,elapsed_time_scc
8.0,1.0,1.0,0.0,0.6031649112701416,0.9999978164434432,9.393089435746794e-07,0.1568467617034912,0.998748460650444,0.0080204688649042,0.5015480518341064,0.99991796875,0.0008081067466290982,1.2925176620483398
8.0,1.0,1.0,0.0,0.5645835399627686,0.9999978164434432,9.3930894357468e-07,0.1536049842834472,0.998748460650444,0.0080204688649042,0.4969522953033447,0.99991796875,0.0008081067466290962,1.4115636348724365
8.0,1.0,1.0,0.0,0.5632133483886719,0.9999978164434432,9.393089435746804e-07,0.1537017822265625,0.998748460650444,0.0080204688649042,0.4998345375061035,0.99991796875,0.0008081067466290993,1.611694574356079
7.0,1.0,0.99952816593647,0.0004718358090224,0.5622780323028564,0.9999635326266288,3.60805994673309e-05,0.1577522754669189,0.9977516297101976,0.0086917265683997,0.5040478706359863,0.9959130024313927,0.007198463725767323,1.3542819023132324
7.0,1.0,0.99952816593647,0.0004718358090224,0.567363977432251,0.9999635326266288,3.60805994673309e-05,0.157855749130249,0.9977516297101976,0.0086917265683996,0.6554758548736572,0.9959130024313927,0.007198463725767323,1.4128868579864502
7.0,1.0,0.99952816593647,0.0004718358090224,0.6333258152008057,0.9999635326266288,3.608059946733087e-05,0.1577212810516357,0.9977516297101976,0.0086917265683996,0.5012567043304443,0.9959130024313927,0.007198463725767324,1.4209794998168945
7.0,1.0,0.99952816593647,0.0004718358090224,0.5600130558013916,0.9999635326266288,3.608059946733088e-05,0.1564748287200927,0.9977516297101976,0.0086917265683996,0.5030398368835449,0.9959130024313927,0.007198463725767328,2.391594171524048
7.0,1.0,0.99952816593647,0.0004718358090224,0.5608060359954834,0.9999635326266288,3.608059946733087e-05,0.1579530239105224,0.9977516297101976,0.0086917265683996,0.507988452911377,0.9959130024313927,0.007198463725767326,2.2231059074401855
6.0,1.0,0.9975536427497864,0.0023181322552758,0.5698256492614746,0.9998978164196014,0.0001049482787541,0.1620502471923828,0.994150369644165,0.0126758771838334,0.5137410163879395,0.9869549049139023,0.017493488518020833,1.5829284191131592
6.0,1.0,0.9975536427497864,0.0023181322552758,0.575045108795166,0.9998978164196014,0.0001049482787541,0.1629011631011963,0.994150369644165,0.0126758771838334,0.5068652629852295,0.9869549049139023,0.01749348851802082,1.3491942882537842
6.0,1.0,0.9975536427497864,0.0023181322552758,0.5691623687744141,0.9998978164196014,0.0001049482787541,0.16343355178833,0.994150369644165,0.0126758771838334,0.5070497989654541,0.9869549049139023,0.017493488518020822,1.3483941555023193
6.0,1.0,0.9975536427497864,0.0023181322552758,0.5699632167816162,0.9998978164196014,0.0001049482787541,0.162449836730957,0.994150369644165,0.0126758771838334,0.5103721618652344,0.9869549049139023,0.017493488518020826,1.4181604385375977
6.0,1.0,0.9975536427497864,0.0023181322552758,0.570275068283081,0.9998978164196014,0.0001049482787541,0.1623575687408447,0.994150369644165,0.0126758771838334,0.5056633949279785,0.9869549049139023,0.01749348851802082,1.4913735389709473
5.0,1.0,0.989558629155159,0.011487534286188,0.5744853019714355,0.9996473664045332,0.0003452558497413,0.1679463386535644,0.9829166209697724,0.0238386856890329,0.5137662887573242,0.9695061838626862,0.0297090699940775,1.6200623512268066
5.0,1.0,0.989558629155159,0.011487534286188,0.577984094619751,0.9996473664045332,0.0003452558497413,0.1678895950317382,0.9829166209697724,0.0238386856890329,0.5154976844787598,0.9695061838626862,0.02970906999407749,1.260774850845337
5.0,1.0,0.989558629155159,0.011487534286188,0.5802114009857178,0.9996473664045332,0.0003452558497413,0.1679840087890625,0.9829166209697724,0.0238386856890329,0.5128870010375977,0.9695061838626862,0.029709069994077502,1.2205462455749512
5.0,1.0,0.989558629155159,0.011487534286188,0.579434871673584,0.9996473664045332,0.0003452558497413,0.1679177284240722,0.9829166209697724,0.0238386856890329,0.516486406326294,0.9695061838626862,0.02970906999407748,1.2857167720794678
5.0,1.0,0.989558629155159,0.011487534286188,0.5763123035430908,0.9996473664045332,0.0003452558497413,0.1690168380737304,0.9829166209697724,0.0238386856890329,0.5136675834655762,0.9695061838626862,0.029709069994077488,1.4176654815673828
4.0,1.0,0.9637095522880554,0.0268848528526561,0.5865981578826904,0.9986757614016532,0.0012963553040609,0.1727697849273681,0.9506950941085816,0.0441258532353684,0.521644115447998,0.9360141378045083,0.042295597876777516,1.2299525737762451
4.0,1.0,0.9637095522880554,0.0268848528526561,0.5837838649749756,0.9986757614016532,0.0012963553040609,0.1730704307556152,0.9506950941085816,0.0441258532353684,0.5216288566589355,0.9360141378045083,0.042295597876777495,1.5586802959442139
4.0,1.0,0.9637095522880554,0.0268848528526561,0.5773494243621826,0.9986757614016532,0.0012963553040609,0.1742053031921386,0.9506950941085816,0.0441258532353684,0.5167567729949951,0.9360141378045083,0.042295597876777516,1.4458374977111816
4.0,1.0,0.9637095522880554,0.0268848528526561,0.5812366008758545,0.9986757614016532,0.0012963553040609,0.1730051040649414,0.9506950941085816,0.0441258532353684,0.5189778804779053,0.9360141378045083,0.0422955978767775,1.4582748413085938
4.0,1.0,0.9637095522880554,0.0268848528526561,0.5800549983978271,0.9986757614016532,0.0012963553040609,0.1737871170043945,0.9506950941085816,0.0441258532353684,0.5172383785247803,0.9360141378045083,0.042295597876777495,1.3598296642303467
