severity,accuracy,mean_poly_k,std_poly_k,elapsed_time_poly_k
8.0,1.0,1.0,0.0,0.11078143119812012
8.0,0.998,1.0,0.0,0.10891580581665039
8.0,1.0,1.0,0.0,0.1087496280670166
7.0,1.0,0.9859375000000002,2.222669831529484e-16,0.11074066162109375
7.0,0.998,0.9859375000000002,2.222669831529484e-16,0.12420487403869629
7.0,0.998,0.9859375000000002,2.222669831529484e-16,0.11708498001098633
7.0,1.0,0.9859375000000002,2.222669831529484e-16,0.1186819076538086
7.0,1.0,0.9859375000000002,2.222669831529484e-16,0.12670683860778809
6.0,1.0,0.9437499999999998,2.222669831529484e-16,0.12280797958374023
6.0,1.0,0.9437499999999998,2.222669831529484e-16,0.13735270500183105
6.0,1.0,0.9437499999999998,2.222669831529484e-16,0.12936830520629883
6.0,1.0,0.9437499999999998,2.222669831529484e-16,0.12571191787719727
6.0,1.0,0.9437499999999998,2.222669831529484e-16,0.13060235977172852
5.0,1.0,0.8734374999999998,2.222669831529484e-16,0.13452386856079102
5.0,1.0,0.8734374999999998,2.222669831529484e-16,0.1411585807800293
5.0,1.0,0.8734374999999998,2.222669831529484e-16,0.1351642608642578
5.0,0.998,0.8734374999999998,2.222669831529484e-16,0.14055562019348145
5.0,1.0,0.8734374999999998,2.222669831529484e-16,0.13757967948913574
4.0,1.0,0.7750000000000002,2.222669831529484e-16,0.1380770206451416
4.0,1.0,0.7750000000000002,2.222669831529484e-16,0.14655804634094238
4.0,0.998,0.7750000000000002,2.222669831529484e-16,0.13983988761901855
4.0,1.0,0.7750000000000002,2.222669831529484e-16,0.1397867202758789
4.0,1.0,0.7750000000000002,2.222669831529484e-16,0.14652037620544434
3.0,0.992,0.6484375,0.0,0.1509857177734375
3.0,0.986,0.6484375,0.0,0.1437695026397705
3.0,0.984,0.6484375,0.0,0.14896321296691895
3.0,0.986,0.6484375,0.0,0.14212679862976074
3.0,0.988,0.6484375,0.0,0.14462780952453613
2.0,0.852,0.5,0.0,0.14906525611877441
2.0,0.862,0.5,0.0,0.15320134162902832
2.0,0.868,0.5,0.0,0.15226268768310547
