Severity,Mean,Std,Accuracy
1,0.9999982909560203,9.121652483732895e-07,0.998
2,0.9074017352461815,0.042701319620495684,0.998
3,0.8178459707014263,0.07127194227448946,1.0
4,0.7520569113250822,0.08464195268891035,0.998
5,0.6982511980608106,0.09726266169603791,0.996
6,0.6643328746419865,0.10595241073064024,0.992
7,0.6462284317854792,0.10940031131592631,0.996
8,0.6213643006322672,0.11363742032654038,0.986
9,0.6035567073394195,0.10917799135892833,0.964
10,0.5885918113958906,0.11576739604123923,0.954
11,0.5838174278557999,0.11593109349712426,0.964
12,0.5667861440802225,0.12533721889237256,0.93
13,0.5622449460285134,0.12871697539565982,0.918
14,0.5618365747334901,0.1295584766697183,0.896
15,0.5497999849587213,0.12639091788434345,0.84
16,0.5432536775412736,0.1293446261575513,0.788
17,0.5347258535459405,0.13628941764475683,0.724
18,0.5238754307727213,0.13763496908134326,0.654
19,0.5173186696576886,0.13566265690921153,0.6
20,0.524906060647103,0.13503069662369355,0.556
21,0.5108797047662665,0.13533215478276087,0.496
22,0.5102770393667743,0.1389999744195244,0.434
23,0.49658358422189486,0.13141104294055703,0.382
24,0.4959418873707182,0.13116385876522313,0.314
25,0.4901267515863874,0.13414801523509484,0.284
26,0.4848298726367648,0.12469047934311363,0.232
27,0.4637072477989714,0.12718408159384295,0.222
28,0.4519145281567471,0.12950128143657635,0.194
29,0.4336851002650801,0.12131761709952305,0.148
30,0.437041095364606,0.10477291086637959,0.15
